planted_community,detected_community,node_count
BRIDGE,0,4
BRIDGE,1,4
BRIDGE,2,4
BRIDGE,3,3
CORE,0,222
CORE,1,643
CORE,2,35
CORE,3,188
CORE,4,9
CORE,5,3
OPPOSITION,2,400
SAVETHECHILDREN,0,443
SAVETHECHILDREN,1,1
SAVETHECHILDREN,2,17
SAVETHECHILDREN,3,39
