node_id,in_degree,out_degree,degree,in_degree_norm,out_degree_norm,degree_norm,closeness_harmonic,betweenness,degree_norm_fallback,pagerank
0,23,11,34,0.011420059582919563,0.005461767626613704,0.016881827209533268,300.7273667025798,0.003151091884873447,0.016881827209533268,0.0008644256281499412
1,32,33,65,0.015888778550148957,0.01638530287984111,0.03227408142999007,335.7956860892304,0.001535784530640213,0.03227408142999007,0.001115271178450876
2,20,18,38,0.009930486593843098,0.00893743793445879,0.018867924528301886,302.95656584916645,4.9701764745637964e-06,0.018867924528301886,0.0007798513343236713
3,37,37,74,0.018371400198609732,0.018371400198609732,0.036742800397219465,310.0847396819726,0.004338964062294194,0.036742800397219465,0.0011815474794877772
4,31,25,56,0.015392254220456803,0.012413108242303872,0.027805362462760674,306.0492300852204,0.0006709738240661125,0.027805362462760674,0.0010519238219545612
5,27,18,45,0.013406156901688183,0.00893743793445879,0.022343594836146972,265.6804366271871,0.0016153073542332337,0.022343594836146972,0.0011155985182811443
6,29,23,52,0.014399205561072492,0.011420059582919563,0.025819265143992055,365.3413465390608,0.0025497005314512274,0.025819265143992055,0.0010726958402791826
7,25,23,48,0.012413108242303872,0.011420059582919563,0.023833167825223437,332.37420459433446,0.0018389652955886047,0.023833167825223437,0.0008766071277363638
8,12,12,24,0.005958291956305859,0.005958291956305859,0.011916583912611719,301.24465394596325,5.964211769476556e-05,0.011916583912611719,0.0005767524513601416
9,17,24,41,0.008440913604766634,0.011916583912611719,0.02035749751737835,282.5731400826986,0.002072563589893103,0.02035749751737835,0.0007962745378993207
10,29,37,66,0.014399205561072492,0.018371400198609732,0.03277060575968222,333.5375413284269,0.002922463767043512,0.03277060575968222,0.0011759446768397836
11,10,7,17,0.004965243296921549,0.003475670307845084,0.008440913604766634,263.1614657213791,0.00031809129437208297,0.008440913604766634,0.00042200680170850107
12,18,23,41,0.00893743793445879,0.011420059582919563,0.02035749751737835,308.42101591979286,0.0001491052942369139,0.02035749751737835,0.0009138700406304078
13,11,9,20,0.005461767626613704,0.004468718967229395,0.009930486593843098,285.1948370940737,0.000293240411999264,0.009930486593843098,0.0004759973018937484
14,12,11,23,0.005958291956305859,0.005461767626613704,0.011420059582919563,298.84763147318375,0.00018886670603342426,0.011420059582919563,0.0005430408603809861
15,11,5,16,0.005461767626613704,0.0024826216484607746,0.007944389275074478,381.94843866120016,0.0014264406481998095,0.007944389275074478,0.0003154855886923715
16,25,16,41,0.012413108242303872,0.007944389275074478,0.02035749751737835,376.3081421752077,0.0018538758250122962,0.02035749751737835,0.0008919797063067478
17,23,23,46,0.011420059582919563,0.011420059582919563,0.022840119165839126,317.5091978578572,0.0012475142951155129,0.022840119165839126,0.0009986374623757535
18,17,19,36,0.008440913604766634,0.009433962264150943,0.01787487586891758,292.9056409333107,0.0011829020009461835,0.01787487586891758,0.0006312524743516269
19,7,9,16,0.003475670307845084,0.004468718967229395,0.007944389275074478,261.523700243086,4.9701764745637964e-06,0.007944389275074478,0.000369404173885407
20,12,9,21,0.005958291956305859,0.004468718967229395,0.010427010923535254,314.4768506811927,0.0,0.010427010923535254,0.0004776078073487772
21,11,16,27,0.005461767626613704,0.007944389275074478,0.013406156901688183,326.73469814182823,0.001978130236876391,0.013406156901688183,0.0004572887509020576
22,9,12,21,0.004468718967229395,0.005958291956305859,0.010427010923535254,231.2339615329012,7.952282359302074e-05,0.010427010923535254,0.00041473914238492374
23,23,17,40,0.011420059582919563,0.008440913604766634,0.019860973187686197,270.7262273700409,0.00010437370596583973,0.019860973187686197,0.0010241670619678628
24,14,13,27,0.006951340615690168,0.006454816285998014,0.013406156901688183,368.1908809888115,0.0016451284130806166,0.013406156901688183,0.0005826056681636236
25,10,7,17,0.004965243296921549,0.003475670307845084,0.008440913604766634,286.6912885376633,0.0,0.008440913604766634,0.00048203280199290576
26,15,16,31,0.007447864945382324,0.007944389275074478,0.015392254220456803,236.6047039204676,0.0001491052942369139,0.015392254220456803,0.0007356315528490044
27,15,10,25,0.007447864945382324,0.004965243296921549,0.012413108242303872,365.50854533422813,0.002092444295791358,0.012413108242303872,0.0005736490302613339
28,10,8,18,0.004965243296921549,0.003972194637537239,0.00893743793445879,300.9426723565793,1.9880705898255186e-05,0.00893743793445879,0.0004966333611332347
29,7,4,11,0.003475670307845084,0.0019860973187686196,0.005461767626613704,351.6462698069423,8.449300006758453e-05,0.005461767626613704,0.00035694941656579755
30,9,12,21,0.004468718967229395,0.005958291956305859,0.010427010923535254,311.93370224481606,0.005278327415986752,0.010427010923535254,0.0004134089605191083
31,13,13,26,0.006454816285998014,0.006454816285998014,0.012909632571996028,255.5021350925816,3.479123532194657e-05,0.012909632571996028,0.0005538411609829616
32,13,11,24,0.006454816285998014,0.005461767626613704,0.011916583912611719,284.7194405707655,0.00010934388244040352,0.011916583912611719,0.0005964734933070886
33,17,10,27,0.008440913604766634,0.004965243296921549,0.013406156901688183,325.82767007311105,0.0,0.013406156901688183,0.0006227545509764955
34,16,10,26,0.007944389275074478,0.004965243296921549,0.012909632571996028,271.0918646708991,0.00047713694155812446,0.012909632571996028,0.0006950738066589727
35,42,41,83,0.020854021847070508,0.02035749751737835,0.041211519364448855,372.7386838977561,0.0074055629471000564,0.041211519364448855,0.0017507830040483275
36,11,10,21,0.005461767626613704,0.004965243296921549,0.010427010923535254,382.7918249966678,0.0004025842944396675,0.010427010923535254,0.00042948828568546054
37,16,20,36,0.007944389275074478,0.009930486593843098,0.01787487586891758,276.5836335139605,0.0009741545890145041,0.01787487586891758,0.0005954655215782151
