node_id,betweenness
2004,0.13740549881579073
2008,0.13452776663701826
2012,0.11826534921224553
2001,0.11549696091591351
2009,0.1149055099154404
2010,0.11087966697104373
2006,0.10590452032000537
2000,0.10401088308319657
2014,0.10019875772720614
2011,0.09763911684280578
2013,0.09592440595908128
2002,0.0943289793107463
2007,0.09278822460363152
2003,0.09019876266038378
2005,0.06649102087671446
1534,0.03332006308547569
343,0.01826539854402195
1221,0.017231601837312684
1850,0.015884684012705895
103,0.014502974952777158
